timetable_id,route_id,station_code,frequency,days_operation,stop_no,first_trip,last_trip
1,R001,NS01,3 min,Mon-Fri,1,05:30,23:45
2,R001,NS01,4 min,Sat,1,05:30,23:55
3,R001,NS01,6 min,Sun-PH,1,06:00,23:30
4,R001,NS17,3 min,Mon-Fri,17,05:30,23:45
5,R001,NS17,4 min,Sat,17,05:30,23:55
6,R001,NS17,6 min,Sun-PH,17,06:00,23:30
7,R001,NS24,3 min,Mon-Fri,24,05:30,23:45
8,R001,NS24,4 min,Sat,24,05:30,23:55
9,R001,NS24,6 min,Sun-PH,24,06:00,23:30
10,R001,NS28,3 min,Mon-Fri,28,05:30,23:45
11,R001,NS28,4 min,Sat,28,05:30,23:55
12,R001,NS28,6 min,Sun-PH,28,06:00,23:30
13,R002,EW01,3 min,Mon-Fri,1,05:30,23:45
14,R002,EW01,4 min,Sat,1,05:30,23:55
15,R002,EW01,6 min,Sun-PH,1,06:00,23:30
16,R002,EW13,3 min,Mon-Fri,13,05:30,23:45
17,R002,EW13,4 min,Sat,13,05:30,23:55
18,R002,EW13,6 min,Sun-PH,13,06:00,23:30
19,R002,EW24,3 min,Mon-Fri,24,05:30,23:45
20,R002,EW24,4 min,Sat,24,05:30,23:55
21,R002,EW24,6 min,Sun-PH,24,06:00,23:30
22,R003,CC01,3 min,Mon-Fri,1,05:30,23:45
23,R003,CC01,4 min,Sat,1,05:30,23:55
24,R003,CC01,6 min,Sun-PH,1,06:00,23:30
25,R003,CC15,3 min,Mon-Fri,15,05:30,23:45
26,R003,CC15,4 min,Sat,15,05:30,23:55
27,R003,CC15,6 min,Sun-PH,15,06:00,23:30
28,R004,DT14,3 min,Mon-Fri,14,05:30,23:45
29,R004,DT14,4 min,Sat,14,05:30,23:55
30,R004,DT14,6 min,Sun-PH,14,06:00,23:30
31,R005,NE06,3 min,Mon-Fri,6,05:30,23:45
32,R005,NE06,4 min,Sat,6,05:30,23:55
33,R005,NE06,6 min,Sun-PH,6,06:00,23:30
34,R005,NE17,3 min,Mon-Fri,17,05:30,23:45
35,R005,NE17,4 min,Sat,17,05:30,23:55
36,R005,NE17,6 min,Sun-PH,17,06:00,23:30
37,R006,TE09,3 min,Mon-Fri,9,05:30,23:45
38,R006,TE09,4 min,Sat,9,05:30,23:55
39,R006,TE09,6 min,Sun-PH,9,06:00,23:30
40,R006,TE14,3 min,Mon-Fri,14,05:30,23:45
41,R006,TE14,4 min,Sat,14,05:30,23:55
42,R006,TE14,6 min,Sun-PH,14,06:00,23:30
