LineID,OrderID,SKU,Quantity,UnitPrice,Discount,LineTotal
1,5001,SKU1006,3,5.4,0.0,16.2
2,5001,SKU1006,4,5.4,0.0,21.6
3,5001,SKU1024,1,7.3,0.0,7.3
4,5001,SKU1008,1,2.8,0.05,2.66
5,5001,SKU1003,1,5.95,0.15,5.06
6,5002,SKU1020,2,5.5,0.0,11.0
7,5002,SKU1002,4,2.9,0.15,9.86
8,5002,SKU1015,4,5.6,0.05,21.28
9,5002,SKU1019,1,6.1,0.15,5.18
10,5002,SKU1020,1,5.5,0.15,4.67
11,5002,SKU1011,1,6.95,0.0,6.95
12,5004,SKU1008,1,2.8,0.05,2.66
13,5004,SKU1016,2,11.9,0.0,23.8
14,5005,SKU1018,3,4.3,0.15,10.96
15,5005,SKU1013,1,2.1,0.0,2.1
16,5005,SKU1019,12,6.1,0.15,62.22
17,5006,SKU1014,6,3.3,0.1,17.82
18,5006,SKU1025,3,9.8,0.05,27.93
19,5006,SKU1009,2,3.4,0.0,6.8
20,5006,SKU1006,2,5.4,0.15,9.18
21,5006,SKU1016,1,11.9,0.15,10.12
22,5006,SKU1024,1,7.3,0.05,6.93
23,5008,SKU1018,2,4.3,0.1,7.74
24,5008,SKU1007,1,6.2,0.0,6.2
25,5008,SKU1025,3,9.8,0.05,27.93
26,5008,SKU1016,2,11.9,0.0,23.8
27,5008,SKU1023,1,8.4,0.0,8.4
28,5009,SKU1006,6,5.4,0.0,32.4
29,5009,SKU1025,2,9.8,0.0,19.6
30,5009,SKU1012,1,2.35,0.0,2.35
31,5009,SKU1002,1,2.9,0.0,2.9
32,5010,SKU1017,1,11.5,0.0,11.5
33,5010,SKU1021,3,4.8,0.0,14.4
34,5010,SKU1021,2,4.8,0.15,8.16
35,5011,SKU1018,1,4.3,0.0,4.3
36,5011,SKU1020,1,5.5,0.0,5.5
37,5012,SKU1014,2,3.3,0.05,6.27
38,5012,SKU1020,3,5.5,0.0,16.5
39,5013,SKU1023,1,8.4,0.0,8.4
40,5013,SKU1020,1,5.5,0.05,5.22
41,5013,SKU1022,1,9.2,0.1,8.28
42,5013,SKU1019,2,6.1,0.0,12.2
43,5013,SKU1008,1,2.8,0.1,2.52
44,5014,SKU1009,2,3.4,0.0,6.8
45,5014,SKU1013,3,2.1,0.05,5.99
46,5015,SKU1017,1,11.5,0.15,9.78
47,5015,SKU1016,6,11.9,0.1,64.26
48,5015,SKU1012,4,2.35,0.15,7.99
49,5015,SKU1025,6,9.8,0.15,49.98
50,5016,SKU1006,1,5.4,0.05,5.13
51,5016,SKU1020,6,5.5,0.0,33.0
52,5016,SKU1001,2,3.2,0.0,6.4
53,5017,SKU1022,1,9.2,0.1,8.28
54,5017,SKU1002,12,2.9,0.0,34.8
55,5017,SKU1022,4,9.2,0.0,36.8
56,5017,SKU1004,2,3.5,0.0,7.0
57,5018,SKU1015,1,5.6,0.05,5.32
58,5018,SKU1017,2,11.5,0.1,20.7
59,5018,SKU1013,1,2.1,0.1,1.89
60,5018,SKU1013,2,2.1,0.0,4.2
61,5018,SKU1010,3,8.9,0.15,22.7
62,5019,SKU1014,4,3.3,0.0,13.2
63,5019,SKU1020,3,5.5,0.05,15.67
64,5019,SKU1003,1,5.95,0.05,5.65
65,5019,SKU1019,1,6.1,0.0,6.1
66,5019,SKU1001,2,3.2,0.05,6.08
67,5019,SKU1022,1,9.2,0.05,8.74
68,5020,SKU1010,1,8.9,0.0,8.9
69,5020,SKU1009,1,3.4,0.0,3.4
70,5020,SKU1015,1,5.6,0.0,5.6
71,5021,SKU1004,4,3.5,0.05,13.3
72,5022,SKU1001,1,3.2,0.05,3.04
73,5023,SKU1001,1,3.2,0.0,3.2
74,5023,SKU1008,12,2.8,0.0,33.6
75,5023,SKU1008,2,2.8,0.05,5.32
76,5024,SKU1010,6,8.9,0.15,45.39
77,5024,SKU1003,1,5.95,0.0,5.95
78,5024,SKU1008,2,2.8,0.0,5.6
79,5024,SKU1015,1,5.6,0.1,5.04
80,5024,SKU1025,1,9.8,0.0,9.8
81,5025,SKU1003,1,5.95,0.0,5.95
82,5025,SKU1016,1,11.9,0.05,11.3
83,5025,SKU1004,2,3.5,0.05,6.65
84,5025,SKU1011,1,6.95,0.15,5.91
85,5025,SKU1007,1,6.2,0.15,5.27
86,5026,SKU1012,1,2.35,0.05,2.23
87,5026,SKU1012,1,2.35,0.0,2.35
88,5026,SKU1013,1,2.1,0.0,2.1
89,5026,SKU1017,1,11.5,0.0,11.5
90,5026,SKU1012,1,2.35,0.0,2.35
91,5026,SKU1024,1,7.3,0.1,6.57
92,5027,SKU1013,3,2.1,0.0,6.3
93,5027,SKU1003,4,5.95,0.0,23.8
94,5027,SKU1007,2,6.2,0.0,12.4
95,5028,SKU1003,6,5.95,0.0,35.7
96,5028,SKU1024,1,7.3,0.0,7.3
97,5028,SKU1007,6,6.2,0.0,37.2
98,5028,SKU1009,1,3.4,0.0,3.4
99,5028,SKU1004,3,3.5,0.0,10.5
100,5028,SKU1023,2,8.4,0.1,15.12
101,5029,SKU1005,6,3.85,0.0,23.1
102,5029,SKU1021,2,4.8,0.1,8.64
103,5029,SKU1005,3,3.85,0.05,10.97
104,5030,SKU1007,2,6.2,0.0,12.4
105,5030,SKU1012,1,2.35,0.0,2.35
106,5030,SKU1016,6,11.9,0.0,71.4
107,5030,SKU1001,1,3.2,0.0,3.2
108,5030,SKU1006,3,5.4,0.0,16.2
109,5030,SKU1022,1,9.2,0.15,7.82
110,5031,SKU1001,6,3.2,0.05,18.24
111,5031,SKU1001,1,3.2,0.1,2.88
112,5031,SKU1004,1,3.5,0.0,3.5
113,5031,SKU1019,3,6.1,0.0,18.3
114,5031,SKU1017,2,11.5,0.0,23.0
115,5031,SKU1019,1,6.1,0.05,5.79
116,5032,SKU1007,1,6.2,0.15,5.27
117,5032,SKU1013,6,2.1,0.0,12.6
118,5033,SKU1023,1,8.4,0.15,7.14
119,5033,SKU1003,2,5.95,0.1,10.71
120,5033,SKU1001,2,3.2,0.1,5.76
121,5033,SKU1008,3,2.8,0.0,8.4
122,5034,SKU1012,1,2.35,0.0,2.35
123,5034,SKU1019,2,6.1,0.0,12.2
124,5034,SKU1018,1,4.3,0.15,3.65
125,5035,SKU1005,1,3.85,0.0,3.85
126,5035,SKU1020,2,5.5,0.0,11.0
127,5035,SKU1011,1,6.95,0.0,6.95
128,5035,SKU1013,1,2.1,0.0,2.1
129,5035,SKU1008,6,2.8,0.0,16.8
130,5036,SKU1019,1,6.1,0.1,5.49
131,5036,SKU1020,2,5.5,0.05,10.45
132,5036,SKU1018,1,4.3,0.1,3.87
133,5037,SKU1022,4,9.2,0.0,36.8
134,5037,SKU1012,2,2.35,0.05,4.46
135,5037,SKU1011,4,6.95,0.15,23.63
136,5038,SKU1015,4,5.6,0.0,22.4
137,5038,SKU1017,2,11.5,0.1,20.7
138,5038,SKU1003,4,5.95,0.05,22.61
139,5038,SKU1016,1,11.9,0.0,11.9
140,5038,SKU1010,1,8.9,0.1,8.01
141,5040,SKU1004,1,3.5,0.1,3.15
142,5040,SKU1019,4,6.1,0.0,24.4
143,5040,SKU1024,1,7.3,0.05,6.93
144,5040,SKU1025,3,9.8,0.05,27.93
145,5041,SKU1009,3,3.4,0.1,9.18
146,5041,SKU1012,1,2.35,0.05,2.23
147,5041,SKU1004,3,3.5,0.1,9.45
148,5041,SKU1022,2,9.2,0.0,18.4
149,5042,SKU1014,1,3.3,0.0,3.3
150,5042,SKU1022,12,9.2,0.05,104.88
151,5042,SKU1012,2,2.35,0.0,4.7
152,5042,SKU1012,1,2.35,0.0,2.35
153,5042,SKU1011,2,6.95,0.0,13.9
154,5042,SKU1023,12,8.4,0.05,95.76
155,5043,SKU1005,1,3.85,0.0,3.85
156,5043,SKU1025,2,9.8,0.0,19.6
157,5043,SKU1016,4,11.9,0.0,47.6
158,5043,SKU1011,4,6.95,0.0,27.8
