OrderID,OrderDate,OrderTime,OutletCode,CustomerID,StaffID,Channel,PaymentMethod,Status
5001,2025-05-07,10:17,OTL08,1008,38,Mobile App,PayNow,Completed
5002,2025-10-04,10:52,OTL07,1024,28,Mobile App,Credit Card,Completed
5003,2025-05-07,20:38,OTL03,1010,20,Mobile App,NETS,Cancelled
5004,2025-02-11,14:23,OTL02,1025,35,In-Store,NETS,Refunded
5005,2025-05-11,18:38,OTL05,1028,39,Mobile App,PayNow,Completed
5006,2025-05-15,14:38,OTL06,1022,24,In-Store,Cash,Completed
5007,2025-07-08,11:23,OTL08,,18,Online,Cash,Cancelled
5008,2025-08-04,10:44,OTL04,1024,23,Online,Cash,Completed
5009,2025-08-12,12:38,OTL02,1033,2,Online,GrabPay,Completed
5010,2025-07-30,10:52,OTL06,,9,In-Store,PayNow,Completed
5011,2025-11-21,19:23,OTL08,1010,29,In-Store,PayNow,Completed
5012,2025-09-15,13:52,OTL05,1044,17,Mobile App,PayNow,Completed
5013,2025-03-10,18:52,OTL04,1053,4,Online,PayNow,Completed
5014,2025-05-18,18:38,OTL01,1039,25,Online,Credit Card,Completed
5015,2025-09-27,19:05,OTL08,1004,18,In-Store,GrabPay,Completed
5016,2025-01-13,20:52,OTL02,1054,33,In-Store,PayNow,Completed
5017,2025-07-24,13:17,OTL01,1003,1,Mobile App,Cash,Completed
5018,2025-04-19,10:52,OTL04,1033,36,In-Store,PayNow,Completed
5019,2025-05-28,14:17,OTL07,1035,7,Online,PayNow,Completed
5020,2025-08-20,19:23,OTL05,1002,15,Online,NETS,Completed
5021,2025-02-27,09:52,OTL06,1038,24,Mobile App,GrabPay,Completed
5022,2025-10-21,21:52,OTL08,1036,18,Online,Credit Card,Completed
5023,2025-06-29,21:23,OTL08,1060,41,In-Store,Cash,Completed
5024,2025-07-07,19:44,OTL05,1047,37,Mobile App,Cash,Completed
5025,2025-07-08,17:52,OTL03,1013,3,Online,NETS,Completed
5026,2025-07-18,12:44,OTL01,1040,1,Online,PayNow,Completed
5027,2025-04-18,21:44,OTL01,1033,25,In-Store,Credit Card,Completed
5028,2025-09-26,14:23,OTL04,1046,23,In-Store,Credit Card,Completed
5029,2025-05-26,21:44,OTL06,1040,9,In-Store,PayNow,Completed
5030,2025-05-29,13:44,OTL03,1005,3,In-Store,GrabPay,Completed
5031,2025-08-31,11:38,OTL05,1037,5,In-Store,PayNow,Completed
5032,2025-01-25,11:38,OTL02,1013,42,Online,NETS,Completed
5033,2025-06-27,14:23,OTL01,1030,1,Online,PayNow,Completed
5034,2025-01-07,20:05,OTL06,1017,11,Mobile App,PayNow,Completed
5035,2025-05-21,11:52,OTL03,1040,20,In-Store,NETS,Completed
5036,2025-12-16,19:17,OTL01,1025,1,Online,GrabPay,Completed
5037,2025-07-27,11:05,OTL08,1022,29,In-Store,Credit Card,Completed
5038,2025-07-29,13:05,OTL06,1059,24,In-Store,Credit Card,Completed
5039,2025-09-04,11:52,OTL05,1018,32,Online,NETS,Cancelled
5040,2025-10-03,21:44,OTL02,1037,35,In-Store,Cash,Completed
5041,2025-11-23,13:23,OTL06,1042,6,Online,Cash,Completed
5042,2025-02-04,19:38,OTL02,1021,33,Online,NETS,Completed
5043,2025-11-23,11:38,OTL08,1058,8,In-Store,NETS,Completed
5044,2025-02-04,21:52,OTL02,1010,42,Mobile App,NETS,Completed
5045,2025-05-03,13:38,OTL08,1019,41,Online,PayNow,Completed
5046,2025-06-07,21:23,OTL02,,33,In-Store,Credit Card,Completed
5047,2025-04-26,17:05,OTL08,1017,18,Online,Cash,Completed
5048,2025-06-23,11:44,OTL08,1009,13,Mobile App,Credit Card,Completed
5049,2025-03-31,11:23,OTL03,1011,3,In-Store,PayNow,Completed
5050,2025-09-17,10:44,OTL08,1055,13,In-Store,Credit Card,Completed
5051,2025-07-30,09:52,OTL04,1014,4,Online,Cash,Refunded
5052,2025-03-24,10:05,OTL01,1008,1,Online,Credit Card,Completed
5053,2025-11-09,12:38,OTL07,1049,28,In-Store,Credit Card,Completed
